barcode,price,active,quantity
6001087379267,750,0,0
620514020761,90,1,11
620514020341,150,1,12
6291055009351,750,0,0
8964000873816,300,0,1
104405,350,0,3
644216012985,450,0,3
104091,180,0,0
104103,100,0,0
115273,30,0,-113
116046,90,0,0
101615,100,0,0
104073,70,0,0
115791,45,0,0
107335,40,0,-11
382900936017,450,0,-6
382906674012,70,0,-52
107400,120,1,7
105757,440,0,2
102131,80,0,0
107591,150,1,4
114350,23.4,0,-8
114494,40,1,107
115274,41,0,-4
115264,18,0,0
102593,300,0,0
102594,300,0,0
4009900539746,1350,0,-2
108456,210,0,2
115275,30,0,-55
114035,13.5,0,-9
114986,330,0,0
104097,200,0,0
116047,78,0,0
104743,100,0,0
104992,170,0,0
104739,90,0,0
101076,75,0,0
117881,470,0,0
116049,78,0,0
104098,200,0,0
104735,250,0,0
104072,70,0,0
104744,100,0,0
104071,70,0,0
12000800337,230,1,6
8964000101377,180,1,20
8964000101575,270,1,18
8964000101582,110,1,5
8964000103289,90,0,-126
8964002343959,120,1,62
12000801402,220,1,9
12000022784,110,1,40
8964000103463,80,1,23
8964002343966,100,0,-6
8964002344413,80,1,171
8964002343775,100,0,-1
8964002343782,90,1,35
99136,100,1,50
61001,50,1,87
769503781396,175,0,0
769503781389,90,1,7
103685,630,0,-1
102904,600,0,0
116635,400,0,0
116636,400,0,0
8961103500984,50,0,-6
870572004924,10,0,1
896110205058,20,0,0
113385,28.07233333,1,60
116890,450,0,0
116528,5000,0,0
109402,330,1,10
112236,49.6,1,9
4015630064151,1248,0,0
4015630064236,3589,0,1
4015630083893,5002.5,0,1
4015630067008,1050,0,0
4015630067015,1248,0,1
4015630067022,2029,0,0
4015630070589,3621.35,0,1
104775,180,0,0
4015630981946,5037,0,1
4015630981922,1678,0,0
4015630981939,2750,0,0
106500,367.53,1,4
107890,199,1,9
107623,250,1,7
115297,93,0,0
107816,88,0,0
112061,21.5,1,51
111367,18.33333333,1,30
106541,344.75,0,0
8964000578131,200,0,2
106402,250,0,0
5060409580263,5550,0,0
107290,5694.45,0,0
106698,725,0,3
106868,841.73,0,0
106867,841.73,0,3
106803,841.71,1,5
115169,646,0,0
115135,320,0,0
107074,1200,0,0
110199,274.96,0,0
106211,210.02,0,3
106240,217.32,0,0
3913213952196,179,1,4
118708,120,0,-3
107322,98.18,0,0
108088,200,0,0
107871,200,0,0
113680,3.259775,1,10
111747,56.116,1,6
109709,19.50214286,0,0
107554,4.03,0,0
108346,11.77,0,0
106552,354,0,0
113481,914,0,0
114175,392.97,0,0
112318,30.11,1,18
111512,15.96666667,1,40
112444,21.29233333,0,0
112340,19.7,1,30
112870,41.866,0,0
106399,298.1,1,4
106400,298.1,0,2
106652,520,0,2
111033,15.99966667,0,0
106733,24.33333333,1,23
116688,80,0,0
116689,225,0,0
107397,44,0,0
105051,850,0,3
109469,8.966666667,1,174
111997,42.85714286,0,0
111970,45.21428571,1,23
110849,32.85714286,1,70
106476,375.87,0,2
110051,340,0,0
113490,37.5,1,42
111402,34.28571429,1,14
106834,35.4,1,25
112840,51.28571429,0,0
8964002444069,20,1,4
106895,850,0,0
110795,18.15,1,40
110238,33,1,4
